sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
VAN92-MT01-ITSV0A-N1SI	X0011ZYVM9	B07VXFYGJP		Unknown					125	124	1	0	125		0	0	0
VAN92-MT18-UNWH0A-N1S1	X00147XP8P	B0827X365Q		Unknown					27	23	4	0	27		0	0	0
VAN92-MT19-UNWH0A-N1S1	X00147ZOCZ	B0827VZJB5		Unknown					28	28	0	0	28		0	0	0
VAN92-NBM3XX-DEGY0A-N1S1	X0017MR07J	B08DFHCXD5		Unknown					0	0	0	0	0		0	0	0
VAN92-NBM3XX-FRGY0A-N1S1	X0017J4M55	B08DCN9V7G		Unknown					0	0	0	0	396		396	0	0
VAN92-NBM3XX-ITGY0A-N1S1	X0016JW8HF	B088M7V284		Unknown					0	0	0	0	600		600	0	0
VAN92-NINJAX-DECA0A-N1S1	X0017L4T47	B08D3K23GM		Unknown					0	0	0	0	0		0	0	0
VAN92-PH04-FRGY0A-N1S1	X0011RNGSR	B07V9DY4NF		Unknown					168	132	36	0	168		0	0	0
VAN92-PH04-GBGY0A-N1S1	X0011VDVDN	B07V734JN6		Unknown					1	1	0	0	1		0	0	0
VAN92-PH06-FRGY0A-N1S1	X0014NZTMJ	B083BVS35G		Unknown					92	85	7	0	92		0	0	0
VAN92-PH06-GBGY0A-N1S1	X0014RCZ2H	B083LB8RV4		Unknown					770	766	2	2	770		0	0	0
VAN92-PH08-ITBU1A-N1S1	X0016UNHUV	B08B118YTQ		Unknown					0	0	0	0	0		0	0	0
VAN92-PH08-ITGN1A-N1S1	X0016ZTJ5X	B08BFYTKWY		Unknown					0	0	0	0	0		0	0	0
VAN92-PH08-ITPK1A-N1S1	X0016UNHUL	B089ZYN96K		Unknown					0	0	0	0	0		0	0	0
VAN92-PM20-DEBK0A-N1S1	X0013XDENL	B081GDX6LR		Unknown					271	263	8	0	751		240	240	0
VAN92-PM20-DEWH0A-N1S1	X00136POMR	B07YKW6447		Unknown					257	224	32	1	737		240	240	0
VAN92-PM20-FRBK0A-N1S1	X0013QTK6D	B07ZVSXFX5		Unknown					45	45	0	0	45		0	0	0
VAN92-PM20-FRWH0A-N2S2	X00133N5EJ	B07YKMQFWY		Unknown					59	57	0	2	59		0	0	0
VAN92-PM20-GBWH0A-N1S1	X00170R9YZ	B08BJXT53W		Unknown					0	0	0	0	600		600	0	0
VAN92-PM20-ITWH0A-N1S1	X001443O6V	B081ZSPF36		Unknown					190	182	8	0	350		160	0	0
VAN92-PM20-ITWH0A-N1S2	X00170OQN7	B08BJPD36W		Unknown					0	0	0	0	160		160	0	0
VAN92-PS04-FRWH3A-N1S1	X0013QUB4N	B07DFDCMZD		Unknown					0	0	0	0	0		0	0	0
VAN92-PS04-FRWH3A-N3S1	X00165C4MN	B0871ZLDNX		Unknown					103	102	0	1	103		0	0	0
VAN92-PS04-ITWH3A-N1S1	X0015RUOKL	B085DBFF5B		Unknown					357	350	1	6	357		0	0	0
VAN92-PS100A-DEWH4A-N1S1	X00184VCUR	B08GH9K294		Unknown					0	0	0	0	100		100	0	0
VAN92-PS100A-FRWH4A-N1S2	X00181BGS3	B08G196PNB		Unknown					0	0	0	0	900		900	0	0
VAN92-PS100A-GBWH4A-N1S1	X00183NDTL	B08G8NTFPB		Unknown					0	0	0	0	100		100	0	0
VAN92-PS100A-ITWH4A-N1S1	X0017MR7HH	B08DNC427Q		Unknown					0	0	0	0	280		280	0	0
VAN92-PT20-ITBK1A-N1S1	X00175G01N	B08BY9TPDQ		Unknown					0	0	0	0	120		120	0	0
VAN92-PT20-ITWH1A-N1S1	X00175G07R	B08BYB9LG5		Unknown					0	0	0	0	336		336	0	0
VAN92-S10FAX-DEBK3A-N1S1	X00167J1K9	B087CG443Q		Unknown					1031	944	19	68	1523		492	0	0
VAN92-S10FAX-DEBK3A-N1S2	X00178SN29	B08766L11J		Unknown					0	0	0	0	0		0	0	0
VAN92-S10FAX-DEBK3A-N2S1	X0017KJH8B	B08789QL6G		Unknown					0	0	0	0	0		0	0	0
VAN92-S10FAX-DEBU3A-N1S1	X00184E0ND	B0861PMGPV		Unknown					0	0	0	0	0		0	0	0
VAN92-S10FAX-FRBK3A-N1S1	X00166T39J	B08789QL6G		Unknown					504	466	11	27	912		0	408	0
VAN92-S10FAX-FRBK3A-N2S2	X0017TVV7H	B08FBX12K7		Unknown					0	0	0	0	600		600	0	0
VAN92-S10FAX-GBBK3A-N1S1	X00166DQPL	B08766L11J		Unknown					1247	1141	73	33	4487		3240	0	0
VAN92-S10FAX-ITBK3A-N1S1	X0016FO719	B088GQNKSR		Unknown					600	600	0	0	600		0	0	0
VAN92-S10FAX-ITBK3A-N2S1	X0017H2SXZ	B088GQNKSR		Unknown					276	273	1	2	576		0	300	0
VAN92-S10FAX-ITBK3A-N3S1	X00184UY4R	B087CG443Q		Unknown					0	0	0	0	0		0	0	0
VAN92-S20H-DEGY4A-N1S1	X0014T8CLX	B083QX48Y1		Unknown					2055	1948	104	3	2559		500	0	4
VAN92-S20H-DEGY4A-N2S1	X0016X31Q3	B082CNKZKC		Unknown					0	0	0	0	0		0	0	0
VAN92-S20H-ITGY4A-N1SI	X0014T8PC9	B083QWPT2W		Unknown					1639	1569	59	11	1639		0	0	0
VAN92-S20I-ES	X0016QJU33	B082H8P541		Unknown					0	0	0	0	0		0	0	0
VAN92-S20I-ESGY4A-N1S1	X0014HQAWX	B082H8P541	Tablet 10 Pulgadas Vankyo S20 Tableta de Procesador Octa-Core, 64GB ROM y 3G RAM, 8MP y 5MP CÃ¡mara, Android 9.0, WiFi, Pantalla HD IPS de 1280 Ã 800, GPS, FM, Bluetooth - Gris	New	139.99	No		Yes	2283	2037	211	35	2283	3441.28	0	0	0
VAN92-S20I-ESGY4A-N3S3	X00171YCE9	B083QWPT2W		Unknown					0	0	0	0	0		0	0	0
VAN92-S20I-FRGY4A-N1S1	X00149KWOD	B082CNKZKC		Unknown					998	946	40	12	998		0	0	0
VAN92-S20I-GBGY4A-A1S1	X0014CP2TF	B082LZ98RC		Unknown					1113	1009	87	17	6433		5320	0	0
VAN92-S20I-ITGY4A-N3S1	X00184UU2D	B082H8P541		Unknown					0	0	0	0	0		0	0	0
